GO ID	GO Name	GO Category	FDR	P-Value	Population
GO:0006722	triterpenoid metabolic process	BIOLOGICAL_PROCESS	0.02161647	1.13E-06	Amelonado
GO:0016143	S-glycoside metabolic process	BIOLOGICAL_PROCESS	0.014800825	4.64E-06	Contamana
GO:0019760	glucosinolate metabolic process	BIOLOGICAL_PROCESS	0.014800825	4.64E-06	Contamana
GO:0019757	glycosinolate metabolic process	BIOLOGICAL_PROCESS	0.014800825	4.64E-06	Contamana
GO:0006480	N-terminal protein amino acid methylation	BIOLOGICAL_PROCESS	0.014800825	1.20E-06	Contamana
GO:0043436	oxoacid metabolic process	BIOLOGICAL_PROCESS	0.014800825	2.38E-06	Contamana
GO:0006082	organic acid metabolic process	BIOLOGICAL_PROCESS	0.014800825	2.92E-06	Contamana
GO:0010048	vernalization response	BIOLOGICAL_PROCESS	0.018596906	6.80E-06	Contamana
GO:0006629	lipid metabolic process	BIOLOGICAL_PROCESS	0.018612722	7.77E-06	Contamana
GO:0044281	small molecule metabolic process	BIOLOGICAL_PROCESS	0.024524258	1.15E-05	Contamana
GO:0006633	fatty acid biosynthetic process	BIOLOGICAL_PROCESS	0.038653875	2.02E-05	Contamana
GO:0008843	endochitinase activity	MOLECULAR_FUNCTION	1.74E-06	1.81E-10	Criollo
GO:1901072	glucosamine-containing compound catabolic process	BIOLOGICAL_PROCESS	5.54E-06	1.16E-09	Criollo
GO:0006032	chitin catabolic process	BIOLOGICAL_PROCESS	5.54E-06	1.16E-09	Criollo
GO:0046348	amino sugar catabolic process	BIOLOGICAL_PROCESS	7.24E-06	1.89E-09	Criollo
GO:0006026	aminoglycan catabolic process	BIOLOGICAL_PROCESS	1.21E-05	4.44E-09	Criollo
GO:0006030	chitin metabolic process	BIOLOGICAL_PROCESS	1.21E-05	3.89E-09	Criollo
GO:0005618	cell wall	CELLULAR_COMPONENT	2.89E-05	1.36E-08	Criollo
GO:1901071	glucosamine-containing compound metabolic process	BIOLOGICAL_PROCESS	2.89E-05	1.27E-08	Criollo
GO:0030312	external encapsulating structure	CELLULAR_COMPONENT	3.07E-05	1.60E-08	Criollo
GO:0004568	chitinase activity	MOLECULAR_FUNCTION	1.02E-04	5.84E-08	Criollo
GO:0006040	amino sugar metabolic process	BIOLOGICAL_PROCESS	3.76E-04	2.36E-07	Criollo
GO:0070555	response to interleukin-1	BIOLOGICAL_PROCESS	0.001721231	1.17E-06	Criollo
GO:0004866	endopeptidase inhibitor activity	MOLECULAR_FUNCTION	0.00394847	2.89E-06	Criollo
GO:0006022	aminoglycan metabolic process	BIOLOGICAL_PROCESS	0.004184749	3.28E-06	Criollo
GO:0034612	response to tumor necrosis factor	BIOLOGICAL_PROCESS	0.004189453	3.50E-06	Criollo
GO:0061135	endopeptidase regulator activity	MOLECULAR_FUNCTION	0.004660067	4.14E-06	Criollo
GO:0030414	peptidase inhibitor activity	MOLECULAR_FUNCTION	0.004926906	4.63E-06	Criollo
GO:0042737	drug catabolic process	BIOLOGICAL_PROCESS	0.005230363	5.19E-06	Criollo
GO:0071944	cell periphery	CELLULAR_COMPONENT	0.010483491	1.09E-05	Criollo
GO:0005576	extracellular region	CELLULAR_COMPONENT	0.010871728	1.19E-05	Criollo
GO:0010466	negative regulation of peptidase activity	BIOLOGICAL_PROCESS	0.012661364	1.45E-05	Criollo
GO:0061134	peptidase regulator activity	MOLECULAR_FUNCTION	0.016978764	2.07E-05	Criollo
